id,user_type_id:id,code,name,reconcile,chart_template_id:id
__export__.account_account_4346,account.data_account_type_fixed_assets,L1110,Įsigijimo savikaina (Plėtros darbai),0,l10n_lt_account_chart_template
__export__.account_account_4347,account.data_account_type_expenses,L1118,Amortizacija(-) (Plėtros darbai),0,l10n_lt_account_chart_template
__export__.account_account_4348,account.data_account_type_expenses,L1119,Vertės sumažėjimas(-) (Plėtros darbai),0,l10n_lt_account_chart_template
__export__.account_account_4349,account.data_account_type_fixed_assets,L1120,Įsigijimo savikaina (Prestižas),0,l10n_lt_account_chart_template
__export__.account_account_4350,account.data_account_type_expenses,L1128,Amortizacija(-) (Prestižas),0,l10n_lt_account_chart_template
__export__.account_account_4351,account.data_account_type_expenses,L1129,Vertės sumažėjimas(-) (Prestižas),0,l10n_lt_account_chart_template
__export__.account_account_4352,account.data_account_type_fixed_assets,L1130,Įsigijimo savikaina (Patentai,0,l10n_lt_account_chart_template
__export__.account_account_4353,account.data_account_type_expenses,L1138,Amortizacija(-) (Patentai,0,l10n_lt_account_chart_template
__export__.account_account_4354,account.data_account_type_expenses,L1139,Vertės sumažėjimas(-) (Patentai,0,l10n_lt_account_chart_template
__export__.account_account_4355,account.data_account_type_fixed_assets,L1140,Įsigijimo savikaina (Programinė įranga),0,l10n_lt_account_chart_template
__export__.account_account_4356,account.data_account_type_expenses,L1148,Amortizacija(-) (Programinė įranga),0,l10n_lt_account_chart_template
__export__.account_account_4357,account.data_account_type_expenses,L1149,Vertės sumažėjimas(-) (Programinė įranga),0,l10n_lt_account_chart_template
__export__.account_account_4358,account.data_account_type_fixed_assets,L1150,Įsigijimo savikaina (Kitas nematerialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4359,account.data_account_type_fixed_assets,L1151,Išankstiniai apmokėjimai (Kitas nematerialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4360,account.data_account_type_expenses,L1158,Amortizacija(-) (Kitas nematerialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4361,account.data_account_type_expenses,L1159,Vertės sumažėjimas(-) (Kitas nematerialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4362,account.data_account_type_fixed_assets,L1200,Įsigijimo savikaina (žemė),0,l10n_lt_account_chart_template
